house_id	calc_mode	state	phase	plan	plan_name	pv_model	pv_watt	pv_kw	panel_count	inverter_kw	ratio_percent	battery_nominal_kwh	battery_calculated_nominal_kwh	battery_is_standardized	battery_v4_bSurplus_used	battery_method	tax_total_aud	subsidy_aud	final_price_aud
1	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	19861	6786	13075
1	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	9965	3393	6572
1	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	C: 晚高峰	9965	3393	6572
2	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20383	7059	13324
2	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	10488	3666	6822
2	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	1.76	4	1	176	9.6	7.08	1	0.55	C: 晚高峰	10488	3666	6822
2	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	19861	6786	13075
2	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	9965	3393	6572
2	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	0.88	2	1	88	9.6	7.08	1	0.55	C: 晚高峰	9965	3393	6572
3	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	7.92	18	5	158	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	25274	9048	16226
3	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	7.92	18	5	158	9.6	7.47	1	0.55	B: max(晚高峰, 0.55×剩余)	15379	5655	9724
3	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	6.60	15	4	165	9.6	7.08	1	0.55	C: 晚高峰	14287	5226	9061
3	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	22829	8073	14756
3	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	12933	4680	8253
3	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	4.84	11	3	161	9.6	7.08	1	0.55	C: 晚高峰	12933	4680	8253
4	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	22306	7761	14545
4	new	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	12411	4368	8043
4	new	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	3.96	9	3	132	9.6	7.08	1	0.55	C: 晚高峰	12411	4368	8043
4	expansion	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	20	19.05	1	0.55	A: max(整夜, 0.8×剩余)	20953	7215	13738
4	expansion	NSW	single	B	平衡型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	9.6	7.08	1	0.55	B: max(晚高峰, 0.55×剩余)	11057	3822	7235
4	expansion	NSW	single	C	经济型	JA Solar JAM72S30 550/MR	440	2.20	5	2	110	9.6	7.08	1	0.55	C: 晚高峰	11057	3822	7235
5	new	NSW	single	A	高端型	JA Solar JAM72S30 550/MR	440	11.88	27	7	170	25	20.81	1	0.55	A: max(整夜, 0.8×剩余)	33000	11973	21027
