V6 光伏储能系统计算模板,,,,,,
说明: 请在Excel中打开此文件并启用公式计算,,,,,,
,,,,,,
=== 参数配置 ===,,,,,,
参数名称,值,单位,说明,,,
PV单片功率,440,W,JA Solar JAM54D40-440/LB,,,
年发电系数(TAS),1277,kWh/kW/年,塔斯马尼亚,,,
年用电量(TAS),10148,kWh/年,塔斯马尼亚,,,
DOD,0.9,-,放电深度,,,
RTE,0.95,-,往返效率,,,
总效率,0.855,-,=DOD×RTE,,,
aSurplus,0.7,-,A方案光伏剩余系数,,,
bSurplus,0.55,-,B方案光伏剩余系数,,,
PV单价,540,$/kW,方案A线性定价,,,
逆变器单价,280,$/kW,方案A线性定价,,,
电池单价,865,$/kWh,方案A线性定价,,,
GST税率,0.1,-,10%,,,
STC单价,39,$,每个STC,,,
区域系数(TAS),1.382,-,塔斯马尼亚,,,
Deeming年数,5,年,2025-2030,,,
,,,,,,
=== 输入区 ===,,,,,,
项目,值,单位,,,,
PV容量,13.2,kW,← 请修改此值,,,
逆变器容量,10,kW,← 请修改此值,,,
,,,,,,
=== Step 1: 日均能量计算 ===,,,,,,
计算项,公式,结果,单位,,,
日均用电量,=年用电量/365,27.80,kWh/天,,,
日均发电量,=PV容量×年发电系数/365,46.19,kWh/天,,,
,,,,,,
=== Step 2: 逐小时计算 ===,,,,,,
小时,发电比例,用电比例,逐小时发电,逐小时用电,光伏剩余,用电缺口
0,0,0.0238,0.00,0.66,0.00,0.66
1,0,0.0221,0.00,0.61,0.00,0.61
2,0,0.0205,0.00,0.57,0.00,0.57
3,0,0.0193,0.00,0.54,0.00,0.54
4,0,0.0189,0.00,0.53,0.00,0.53
5,0,0.0205,0.00,0.57,0.00,0.57
6,0.02,0.0267,0.92,0.74,0.18,0.00
7,0.06,0.0357,2.77,0.99,1.78,0.00
8,0.1,0.0402,4.62,1.12,3.50,0.00
9,0.13,0.0398,6.00,1.11,4.90,0.00
10,0.14,0.039,6.47,1.08,5.38,0.00
11,0.15,0.0398,6.93,1.11,5.82,0.00
12,0.15,0.0414,6.93,1.15,5.78,0.00
13,0.14,0.0422,6.47,1.17,5.29,0.00
14,0.12,0.0426,5.54,1.18,4.36,0.00
15,0.08,0.043,3.70,1.20,2.50,0.00
16,0.04,0.0471,1.85,1.31,0.54,0.00
17,0.01,0.0586,0.46,1.63,0.00,1.17
18,0,0.0614,0.00,1.71,0.00,1.71
19,0,0.0586,0.00,1.63,0.00,1.63
20,0,0.052,0.00,1.45,0.00,1.45
21,0,0.0455,0.00,1.27,0.00,1.27
22,0,0.0373,0.00,1.04,0.00,1.04
23,0,0.0295,0.00,0.82,0.00,0.82
合计,1,1,46.19,27.80,40.03,12.55
,,,,,,
=== Step 3: 能量汇总 ===,,,,,,
计算项,公式,结果,单位,,,
晚高峰用电(17-20点),=SUM(17:20点用电),6.41,kWh,,,
整夜用电(17-次日6点),=SUM(17-23点)+SUM(0-6点),11.16,kWh,,,
光伏剩余总量,=SUM(光伏剩余列),40.03,kWh,,,
,,,,,,
=== Step 4: 电池容量计算 ===,,,,,,
方案,计算项,公式,结果,单位,,
方案A(高端型),整夜用电,,11.16,kWh,,
,0.7×光伏剩余,=0.7×40.03,28.02,kWh,,
,目标能量,=MAX(11.16,28.02),28.02,kWh,,
,电池容量(计算),=28.02/0.855,32.77,kWh,,
,电池容量(标准化),,30,kWh,,
,,,,,,
方案B(平衡型),晚高峰用电,,6.41,kWh,,
,0.55×光伏剩余,=0.55×40.03,22.02,kWh,,
,目标能量,=MAX(6.41,22.02),22.02,kWh,,
,电池容量(计算),=22.02/0.855,25.75,kWh,,
,电池容量(标准化),,25,kWh,,
,,,,,,
方案C(经济型),晚高峰用电,,6.41,kWh,,
,目标能量,,6.41,kWh,,
,电池容量(计算),=6.41/0.855,7.50,kWh,,
,电池容量(标准化),,9.6,kWh,,
,,,,,,
=== Step 5: 成本计算 (方案A线性定价) ===,,,,,,
方案,计算项,公式,结果,单位,,
方案A(高端型),PV成本,=13.2×540,7128,$,,
,逆变器成本,=10×280,2800,$,,
,电池成本,=30×865,25950,$,,
,不含税不含补贴,=7128+2800+25950,35878,$,,
,STC数量,=13.2×1.382×5,91.21,个,,
,补贴金额,=91.21×39,3557,$,,
,含税含补贴,=(35878-3557)×1.1,35553,$,,
,,,,,,
方案B(平衡型),PV成本,=13.2×540,7128,$,,
,逆变器成本,=10×280,2800,$,,
,电池成本,=25×865,21625,$,,
,不含税不含补贴,=7128+2800+21625,31553,$,,
,STC数量,=13.2×1.382×5,91.21,个,,
,补贴金额,=91.21×39,3557,$,,
,含税含补贴,=(31553-3557)×1.1,30796,$,,
,,,,,,
方案C(经济型),PV成本,=13.2×540,7128,$,,
,逆变器成本,=10×280,2800,$,,
,电池成本,=9.6×865,8304,$,,
,不含税不含补贴,=7128+2800+8304,18232,$,,
,STC数量,=13.2×1.382×5,91.21,个,,
,补贴金额,=91.21×39,3557,$,,
,含税含补贴,=(18232-3557)×1.1,16143,$,,
,,,,,,
=== 结果汇总 ===,,,,,,
项目,方案A(高端型),方案B(平衡型),方案C(经济型),,,
PV容量(kW),13.2,13.2,13.2,,,
逆变器(kW),10,10,10,,,
电池(kWh),30,25,9.6,,,
不含税不含补贴($),35878,31553,18232,,,
补贴金额($),3557,3557,3557,,,
含税含补贴($),35553,30796,16143,,,
