项目类型,屋顶理论最大面板数量,方案,实际面板数量,光伏容量kW,逆变器功率kW,电池可用容量kWh,电池标称容量kWh,面板报价AUD,逆变器报价AUD,电池报价AUD,税前整体报价AUD,GST税费AUD,含税报价AUD,STC_PV补贴AUD,STC电池补贴AUD,VIC州补贴AUD,VIC州无息贷款AUD,NSW_VPP补贴AUD,补贴总计AUD,最终报价AUD,展示下限AUD,展示上限AUD,系统单价AUD每W,扣除电池后单价AUD每W
"新建系统","1","A","0","0.00","19.5","45.29","50.32","0.00","5460.00","43526.80","48986.80","4898.68","53885.48","0.00","16419.00","0.00","0.00","0.00","16419.00","37466.48","35593.16","39339.80","0.0000","0.0000"
"新建系统","1","B","0","0.00","15","37.74","41.93","0.00","4200.00","36269.45","40469.45","4046.94","44516.39","0.00","13650.00","0.00","0.00","0.00","13650.00","30866.39","29323.08","32409.71","0.0000","0.0000"
"新建系统","1","C","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0000","0.0000"
"新建系统","2","A","1","0.44","8","20.20","22.44","237.60","2240.00","19410.60","21888.20","2188.82","24077.02","142.29","7293.00","0.00","0.00","0.00","7435.29","16641.73","15809.64","17473.82","37.8221","10.2821"
"新建系统","2","B","1","0.44","5","13.50","15.00","237.60","1400.00","12975.00","14612.60","1461.26","16073.86","142.29","4875.00","0.00","0.00","0.00","5017.29","11056.57","10503.74","11609.40","25.1286","6.7195"
"新建系统","2","C","1","0.44","0.3","0.39","0.43","237.60","84.00","372.22","693.82","69.38","763.20","142.29","117.00","0.00","0.00","0.00","259.29","503.91","478.71","529.10","1.1452","0.5652"
"新建系统","3","A","2","0.88","8","20.20","22.44","475.20","2240.00","19410.60","22125.80","2212.58","24338.38","284.58","7293.00","0.00","0.00","0.00","7577.58","16760.80","15922.76","17598.84","19.0464","5.2764"
"新建系统","3","B","2","0.88","5","13.50","15.00","475.20","1400.00","12975.00","14850.20","1485.02","16335.22","284.58","4875.00","0.00","0.00","0.00","5159.58","11175.64","10616.86","11734.42","12.6996","3.4950"
"新建系统","3","C","2","0.88","0.6","0.77","0.86","475.20","168.00","744.43","1387.63","138.76","1526.39","284.58","273.00","0.00","0.00","0.00","557.58","968.81","920.37","1017.25","1.1009","0.5652"
"新建系统","4","A","3","1.32","8","20.20","22.44","712.80","2240.00","19410.60","22363.40","2236.34","24599.74","426.87","7293.00","0.00","0.00","0.00","7719.87","16879.87","16035.87","17723.86","12.7878","3.6078"
"新建系统","4","B","3","1.32","5","13.50","15.00","712.80","1400.00","12975.00","15087.80","1508.78","16596.58","426.87","4875.00","0.00","0.00","0.00","5301.87","11294.71","10729.97","11859.44","8.5566","2.4202"
"新建系统","4","C","3","1.32","0.9","1.16","1.29","712.80","252.00","1116.65","2081.45","208.14","2289.59","426.87","390.00","0.00","0.00","0.00","816.87","1472.72","1399.08","1546.35","1.1157","0.5652"
"新建系统","5","A","4","1.76","8","20.20","22.44","950.40","2240.00","19410.60","22601.00","2260.10","24861.10","569.16","7293.00","0.00","0.00","0.00","7862.16","16998.94","16148.99","17848.88","9.6585","2.7735"
"新建系统","5","B","4","1.76","5","13.50","15.00","950.40","1400.00","12975.00","15325.40","1532.54","16857.94","569.16","4875.00","0.00","0.00","0.00","5444.16","11413.78","10843.09","11984.47","6.4851","1.8828"
"新建系统","5","C","4","1.76","1.2","1.55","1.72","950.40","336.00","1488.86","2775.26","277.53","3052.79","569.16","546.00","0.00","0.00","0.00","1115.16","1937.62","1840.74","2034.51","1.1009","0.5652"
"新建系统","6","A","5","2.20","8","20.20","22.44","1188.00","2240.00","19410.60","22838.60","2283.86","25122.46","711.45","7293.00","0.00","0.00","0.00","8004.45","17118.01","16262.11","17973.91","7.7809","2.2729"
"新建系统","6","B","5","2.20","5","13.50","15.00","1188.00","1400.00","12975.00","15563.00","1556.30","17119.30","711.45","4875.00","0.00","0.00","0.00","5586.45","11532.85","10956.20","12109.49","5.2422","1.5604"
"新建系统","6","C","5","2.20","1.5","1.94","2.15","1188.00","420.00","1861.08","3469.08","346.91","3815.98","711.45","702.00","0.00","0.00","0.00","1413.45","2402.53","2282.40","2522.66","1.0921","0.5652"
"新建系统","7","A","6","2.64","8","20.20","22.44","1425.60","2240.00","19410.60","23076.20","2307.62","25383.82","853.74","7293.00","0.00","0.00","0.00","8146.74","17237.08","16375.22","18098.93","6.5292","1.9392"
"新建系统","7","B","6","2.64","5","13.50","15.00","1425.60","1400.00","12975.00","15800.60","1580.06","17380.66","853.74","4875.00","0.00","0.00","0.00","5728.74","11651.92","11069.32","12234.51","4.4136","1.3454"
"新建系统","7","C","6","2.64","1.8","2.32","2.58","1425.60","504.00","2233.29","4162.89","416.29","4579.18","853.74","819.00","0.00","0.00","0.00","1672.74","2906.44","2761.12","3051.76","1.1009","0.5652"
"新建系统","8","A","7","3.08","8","20.20","22.44","1663.20","2240.00","19410.60","23313.80","2331.38","25645.18","996.04","7293.00","0.00","0.00","0.00","8289.04","17356.14","16488.34","18223.95","5.6351","1.7008"
"新建系统","8","B","7","3.08","5","13.50","15.00","1663.20","1400.00","12975.00","16038.20","1603.82","17642.02","996.04","4875.00","0.00","0.00","0.00","5871.04","11770.98","11182.44","12359.53","3.8217","1.1919"
"新建系统","8","C","7","3.08","2.1","2.71","3.01","1663.20","588.00","2605.51","4856.71","485.67","5342.38","996.04","975.00","0.00","0.00","0.00","1971.04","3371.34","3202.78","3539.91","1.0946","0.5652"
"新建系统","9","A","8","3.52","8","20.20","22.44","1900.80","2240.00","19410.60","23551.40","2355.14","25906.54","1138.33","7293.00","0.00","0.00","0.00","8431.33","17475.21","16601.45","18348.97","4.9645","1.5220"
"新建系统","9","B","8","3.52","5","13.50","15.00","1900.80","1400.00","12975.00","16275.80","1627.58","17903.38","1138.33","4875.00","0.00","0.00","0.00","6013.33","11890.05","11295.55","12484.56","3.3779","1.0767"
"新建系统","9","C","8","3.52","2.4","3.10","3.44","1900.80","672.00","2977.72","5550.52","555.05","6105.58","1138.33","1092.00","0.00","0.00","0.00","2230.33","3875.25","3681.49","4069.01","1.1009","0.5652"
"新建系统","10","A","9","3.96","8","20.20","22.44","2138.40","2240.00","19410.60","23789.00","2378.90","26167.90","1280.62","7293.00","0.00","0.00","0.00","8573.62","17594.28","16714.57","18474.00","4.4430","1.3830"
"新建系统","10","B","9","3.96","5","13.50","15.00","2138.40","1400.00","12975.00","16513.40","1651.34","18164.74","1280.62","4875.00","0.00","0.00","0.00","6155.62","12009.12","11408.67","12609.58","3.0326","0.9872"
"新建系统","10","C","9","3.96","2.7","3.49","3.87","2138.40","756.00","3349.94","6244.34","624.43","6868.77","1280.62","1248.00","0.00","0.00","0.00","2528.62","4340.16","4123.15","4557.16","1.0960","0.5652"
"新建系统","11","A","9","3.96","8","20.20","22.44","2138.40","2240.00","19410.60","23789.00","2378.90","26167.90","1280.62","7293.00","0.00","0.00","0.00","8573.62","17594.28","16714.57","18474.00","4.4430","1.3830"
"新建系统","11","B","9","3.96","5","13.50","15.00","2138.40","1400.00","12975.00","16513.40","1651.34","18164.74","1280.62","4875.00","0.00","0.00","0.00","6155.62","12009.12","11408.67","12609.58","3.0326","0.9872"
"新建系统","11","C","9","3.96","2.7","3.49","3.87","2138.40","756.00","3349.94","6244.34","624.43","6868.77","1280.62","1248.00","0.00","0.00","0.00","2528.62","4340.16","4123.15","4557.16","1.0960","0.5652"
"新建系统","12","A","10","4.40","8","20.20","22.44","2376.00","2240.00","19410.60","24026.60","2402.66","26429.26","1422.91","7293.00","0.00","0.00","0.00","8715.91","17713.35","16827.69","18599.02","4.0258","1.2718"
"新建系统","12","B","10","4.40","5","13.50","15.00","2376.00","1400.00","12975.00","16751.00","1675.10","18426.10","1422.91","4875.00","0.00","0.00","0.00","6297.91","12128.19","11521.78","12734.60","2.7564","0.9155"
"新建系统","12","C","10","4.40","3","3.87","4.30","2376.00","840.00","3722.15","6938.15","693.82","7631.97","1422.91","1404.00","0.00","0.00","0.00","2826.91","4805.06","4564.81","5045.32","1.0921","0.5652"
"新建系统","13","A","11","4.84","8","20.20","22.44","2613.60","2240.00","19410.60","24264.20","2426.42","26690.62","1565.20","7293.00","0.00","0.00","0.00","8858.20","17832.42","16940.80","18724.04","3.6844","1.1807"
"新建系统","13","B","11","4.84","5","13.50","15.00","2613.60","1400.00","12975.00","16988.60","1698.86","18687.46","1565.20","4875.00","0.00","0.00","0.00","6440.20","12247.26","11634.90","12859.63","2.5304","0.8569"
"新建系统","13","C","11","4.84","3.3","4.26","4.73","2613.60","924.00","4094.37","7631.97","763.20","8395.17","1565.20","1521.00","0.00","0.00","0.00","3086.20","5308.97","5043.52","5574.42","1.0969","0.5652"
"新建系统","14","A","12","5.28","9.6","20.00","22.22","2851.20","2688.00","19220.30","24759.50","2475.95","27235.45","1707.49","7254.00","0.00","0.00","0.00","8961.49","18273.96","17360.26","19187.66","3.4610","1.1946"
"新建系统","14","B","12","5.28","5","13.34","14.82","2851.20","1400.00","12819.30","17070.50","1707.05","18777.55","1707.49","4836.00","0.00","0.00","0.00","6543.49","12234.06","11622.36","12845.76","2.3171","0.8051"
"新建系统","14","C","12","5.28","3.6","4.65","5.16","2851.20","1008.00","4466.58","8325.78","832.58","9158.36","1707.49","1677.00","0.00","0.00","0.00","3384.49","5773.87","5485.18","6062.57","1.0935","0.5652"
"新建系统","15","A","13","5.72","9.6","20.00","22.22","3088.80","2688.00","19220.30","24997.10","2499.71","27496.81","1849.78","7254.00","0.00","0.00","0.00","9103.78","18393.03","17473.38","19312.68","3.2156","1.1236"
"新建系统","15","B","13","5.72","5","13.34","14.82","3088.80","1400.00","12819.30","17308.10","1730.81","19038.91","1849.78","4836.00","0.00","0.00","0.00","6685.78","12353.13","11735.47","12970.79","2.1596","0.7640"
"新建系统","15","C","13","5.72","3.9","5.03","5.59","3088.80","1092.00","4838.80","9019.60","901.96","9921.56","1849.78","1794.00","0.00","0.00","0.00","3643.78","6277.78","5963.89","6591.67","1.0975","0.5652"
"新建系统","16","A","14","6.16","9.6","20.00","22.22","3326.40","2688.00","19220.30","25234.70","2523.47","27758.17","1992.07","7254.00","0.00","0.00","0.00","9246.07","18512.10","17586.49","19437.70","3.0052","1.0626"
"新建系统","16","B","14","6.16","5","13.34","14.82","3326.40","1400.00","12819.30","17545.70","1754.57","19300.27","1992.07","4836.00","0.00","0.00","0.00","6828.07","12472.20","11848.59","13095.81","2.0247","0.7287"
"新建系统","16","C","14","6.16","4.2","5.42","6.02","3326.40","1176.00","5211.02","9713.42","971.34","10684.76","1992.07","1950.00","0.00","0.00","0.00","3942.07","6742.69","6405.55","7079.82","1.0946","0.5652"
"新建系统","17","A","15","6.60","9.6","20.00","22.22","3564.00","2688.00","19220.30","25472.30","2547.23","28019.53","2134.36","7254.00","0.00","0.00","0.00","9388.36","18631.17","17699.61","19562.73","2.8229","1.0098"
"新建系统","17","B","15","6.60","5","13.34","14.82","3564.00","1400.00","12819.30","17783.30","1778.33","19561.63","2134.36","4836.00","0.00","0.00","0.00","6970.36","12591.27","11961.71","13220.83","1.9078","0.6982"
"新建系统","17","C","15","6.60","4.4","5.81","6.45","3564.00","1232.00","5583.23","10379.23","1037.92","11417.15","2134.36","2106.00","0.00","0.00","0.00","4240.36","7176.79","6817.95","7535.63","1.0874","0.5605"
"新建系统","18","A","16","7.04","9.6","20.00","22.22","3801.60","2688.00","19220.30","25709.90","2570.99","28280.89","2276.65","7254.00","0.00","0.00","0.00","9530.65","18750.24","17812.73","19687.75","2.6634","0.9636"
"新建系统","18","B","16","7.04","5","13.34","14.82","3801.60","1400.00","12819.30","18020.90","1802.09","19822.99","2276.65","4836.00","0.00","0.00","0.00","7112.65","12710.34","12074.82","13345.86","1.8054","0.6715"
"新建系统","18","C","16","7.04","4.7","6.20","6.88","3801.60","1316.00","5955.45","11073.05","1107.30","12180.35","2276.65","2223.00","0.00","0.00","0.00","4499.65","7680.70","7296.66","8064.73","1.0910","0.5608"
