State,Postcode,Retailer,PlanType,PlanName,PricingModel,SupplyCharge_c/day,FiT_c/kWh,Distributor
VIC,3000,1st Energy,Single Rate,"1st Saver, Residential - Anytime",SR,106,3.3,"Citipower"
VIC,3000,1st Energy,Time of Use,"1st Saver, Residential - Time of Use",TOU,106,3.3,"Citipower"
VIC,3000,AGL,Single Rate,"Residential Solar Savers",SR,97.62,3.3,"Citipower"
VIC,3000,AGL,Time of Use,"Residential Solar Savers",TOU,97.62,3.3,"Citipower"
VIC,3000,Alinta Energy,Single Rate,"Carbon Balance - Single Rate",SR,98.49,3.3,"Citipower"
VIC,3000,Alinta Energy,Time of Use,"Carbon Balance - Two Period Time of Use",TOU,98.49,3.3,"Citipower"
VIC,3000,Amber Electric,Single Rate,"Amber Plan",SR,45.5295,3.3,"Citipower"
VIC,3000,Arcline by RACV - Energy,Single Rate,"Home Energy Partner Plan",SR,48.1818,4.1,"Citipower"
VIC,3000,Arcline by RACV - Energy,Time of Use,"Home Energy Partner Plan",TOU,50,4.1,"Citipower"
VIC,3000,Blue NRG Pty Ltd,Single Rate,"Blue VDO Single Rate (General Usage)",SR,106.12,3.3,"Citipower"
VIC,3000,Blue NRG Pty Ltd,Time of Use,"Blue VDO TOU",TOU,106.12,3.3,"Citipower"
VIC,3000,CovaU,Single Rate,"Super Saver Residential Singl",SR,84.77,4.9,"Citipower"
VIC,3000,CovaU,Time of Use,"Super Saver Residential TOU",TOU,84.77,4.9,"Citipower"
VIC,3000,Diamond Energy Pty Ltd,Single Rate,"Everyday Renewable Saver",SR,103.03,5.2,"Citipower"
VIC,3000,Diamond Energy Pty Ltd,Time of Use,"Everyday Renewable Saver - T72",TOU,103.02,5.2,"Citipower"
VIC,3000,Dodo Power & Gas,Single Rate,"Residential Market - Single Rate",SR,84.8945,3.3,"Citipower"
VIC,3000,Dodo Power & Gas,Time of Use,"Residential Market - Time of Use",TOU,84.8945,3.3,"Citipower"
