review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
16277,Shaun,QLD - 4352,QLD,4352,True,2012-10-26,26 October 2012,3.67,,,3.0,4.0,0,4.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
15787,Stephen,SA - 5606,SA,5606,True,2012-09-19,19 September 2012,3.75,,"I used these installers because they are local, involved in the community through sporting clubs etc. so I know that they would not want the hassle of selling sub standard equipment and loosing local credibility in this town of 10-12 thousand people.",3.0,4.0,4.0,4.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
15670,DAVID,VIC - 3633,VIC,3633,True,2012-09-05,05 September 2012,4.5,,It was exactly 2 weeks from the time I paid the deposit to the panels being installed. It is a very neat job they cleaned up their mess and I was very impressed with their professionalism. We are now just waiting on the smart meter to be installed that may take a while so I've been told.,4.0,5.0,5.0,4.0,More than 6kW,"More than $20,000",,,,False,[],0,0
15572,Daniel,VIC - 3400,VIC,3400,True,2012-08-29,29 August 2012,4.75,,It was great to use SolarQuotes to get 3 quotes to see what was available.,4.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
14729,Greg,VIC - 3400,VIC,3400,True,2012-07-15,15 July 2012,3.5,,"I have had it installed but as yet not connected, I think the meters have to be changed so I can not answer the above question fully.",3.0,3.0,4.0,4.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
14686,Richard,VIC - 3140,VIC,3140,True,2012-07-12,12 July 2012,4.5,,It was good working with Laser Electrical for what I wanted from the solar system they have it.,5.0,4.0,5.0,4.0,4kW,"$3,000 to $6,000",,,,False,[],0,0
14210,TONY,QLD - 4573,QLD,4573,True,2012-06-25,25 June 2012,4.0,,,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
13948,Keith,SA - 5333,SA,5333,True,2012-06-17,17 June 2012,4.33,,"Important to shop around for customer service, attention to detail, quality, price and warranty of components and workmanship. People outside the metropolitan areas need to check out local suppliers and installers, as travel costs add considerably to installation and follow up service if required.",4.0,4.0,0,5.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
12911,Lyn,NSW - 2470,NSW,2470,True,2012-05-14,14 May 2012,4.5,,The nominated suppliers from you were not local. I live in Casino NSW. A friend recommended the one I went with. They came and checked the property then gave price and I paid deposit. Work done about month later by polite efficient workers.,4.0,4.0,5.0,5.0,1.5kW,"$3,000 to $6,000",,,,False,[],0,0
8459,Anon,QLD - 4563,QLD,4563,True,2011-06-13,13 June 2011,3.5,,,4.0,3.0,3.0,4.0,5kW,"$15,000 to $20,000",,,,False,[],0,0
