review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
27000,Tony,QLD - 4855,QLD,4855,True,2015-08-03,03 August 2015,4.0,,,4.0,4.0,0,4.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
18366,Karen,QLD - 4879,QLD,4879,True,2013-04-23,23 April 2013,4.0,,Very good price and straight-forward installation - no dramas!,4.0,4.0,4.0,4.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
17071,Kerrie,QLD - 4809,QLD,4809,True,2013-01-07,07 January 2013,3.75,,"The owner of the business has worked in the industry locally and was very aware of pitfalls for our situation (living in rural area).  Always approachable and very informative, travelled from Cairns to give us a on the spot quote.",4.0,4.0,3.0,4.0,5kW,"$3,000 to $6,000",,,,False,[],0,0
17046,Angela,QLD - 4815,QLD,4815,True,2013-01-04,04 January 2013,5.0,,Simon and his team were very easy to talk to and were willing to take the time to explain any questions we had.  We are extremely happy with the system we bought.,5.0,5.0,5.0,5.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
16877,Denys,QLD - 4814,QLD,4814,True,2012-12-20,20 December 2012,4.0,,,4.0,4.0,4.0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
16647,Ken,QLD - 4888,QLD,4888,True,2012-11-30,30 November 2012,5.0,,"Excellent service from Simon and Chris. Problems outside of Simon's control with Ergon etc  caused delays in installation but communication from Simon was excellent. Quote for identical system from one of the ""biggies"" in North Queensland came nowhere near Simon's.I would recommend anyone to check out Simon's quote before buying elsewhere as I doubt that anyone could match the service given to me.Have had cause for some follow up service and enquiries and still the service has been immediate.",5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
16513,Tony & Lynn,QLD - 4870,QLD,4870,True,2012-11-18,18 November 2012,5.0,,We are very ecstatic about how well the system is working for us.  Sorry we didn't do it sooner. Our meter is going backwards constantly and our Electricity Bill will be no longer something we have to dread.,5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
16455,Mark,QLD - 4811,QLD,4811,True,2012-11-13,13 November 2012,5.0,,An excellent experience. System is 6kw using Trina Honey panels x 24 & an SMA Sunnyboy Inverter. On a good day am generating 38 kws in power. My household daily use is around 24kws so I'm very happy. Simon &the boys were excellent. Their knowledge of solar power systems is extraordinary. You would be a fool not to speak with Alternate Electrical for your system.,5.0,5.0,5.0,5.0,6kW,"$6,000 to $10,000",,,,False,[],0,0
16366,David,QLD - 4879,QLD,4879,True,2012-11-03,03 November 2012,5.0,,I have had the system for nearly 12 months now Iam saving over $350 a quarter which is what Simon predicted . Simon was very professional in the way he went about the quote and the instalation of the job .I have a 3kw system with a SMA inverter i had a problem with the led screen fading so i rang Simon and he got me a replacement screen wright away the customer service was fantastic. So i have no reservations in recomending Simon and hes team for not only price also the workmanship they displayed Regards Dave,5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
16363,Kel,QLD - 4870,QLD,4870,True,2012-11-03,03 November 2012,4.75,,"Mark did an excellent job and I value the service he provided.  Well done, thankyou, just got my first Electricity bill, the solar is worth it",4.0,5.0,5.0,5.0,6kW,"$10,000 to $15,000",,,,False,[],0,0
