review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
32225,Phil,WA - 6012,WA,6012,True,2016-11-07,07 November 2016,4.0,,Avant responded very efficiently to my enquirer and were able to liaise expertly with my builder. Other solar agents were not as receptive.,4.0,4.0,0,4.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
32165,Matt,WA - 6166,WA,6166,True,2016-11-02,02 November 2016,4.75,,"I didn't get my original system from Avant, but bought a replacement (upgraded) inverter from them.At the time it was the best price and the service was great, they installed it promptly and professionally.All good for a few years then the inverter malfunctioned and would not operate anymore, It had a 10 year guarantee, but I was not hopeful after having issues with a previous company.Shannon (The Office Manager)  returned my enquiry straight away, forwarded me the manufacturer contact - wasn't the quickest at handling claims and helped to expedite the process.Every question put through to Shannon was answered politely, informatively and accurately and updates on the claim process were consistent throughout.Avant changed out the inverter, reset the settings and again did a professional job doing so (Thanks to Ian the sparky) and it did not cost me a cent, no arguments, no fuss.I now consider myself to be a loyal customer and Avant will definitely be the first people i would call for any upgrades or need to recommend to friends.Thanks for your help Shannon, it's refreshing to deal with courteous professionals.",5.0,4.0,5.0,5.0,3kW,Under $3000,,,,False,[],0,0
26988,Julio,WA - 6152,WA,6152,True,2015-08-02,02 August 2015,3.5,,,4.0,4.0,2.0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
24019,Graham,WA - 6210,WA,6210,True,2014-10-14,14 October 2014,2.25,,"Would not recommend. No independent design and no site visit as promised. Panels would not fit on the roof where suggested. Panels placed in the shade of the chimney. Four attempts at installation. Originally the output was not near their estimated output. Initially not correctly labelled and incorrect wiring diagram supplied. Wiring not connected correctly resulting in arcing, melted wiring insulation and overheating of the inverter. After it was made 'safe' had burning on one circuit board. Lengthy delays in repairs. Communicating with them difficult. After 18 months I took my complaint to Consumer Protection. Some panels have now been relocated. Avant have supplied extra panels and a data logger free of charge to resolve the problems I have had. System should have been good with proper design and correct installation. I have been told the installers have now been changed. Disappointing to have to go to Consumer Protection to have the issues resolved in a reasonable time frame.",3.0,4.0,1.0,1.0,5kW,"$15,000 to $20,000",,,,False,[],0,0
22821,David,WA - 6004,WA,6004,True,2014-05-19,19 May 2014,5.0,,Some of the people did not even do a site inspection but still quoted,5.0,5.0,5.0,5.0,4kW,"More than $20,000",,,,False,[],0,0
17180,John,WA - 6076,WA,6076,True,2013-01-14,14 January 2013,3.75,,From an engineering perspective this style of system helped with our potential shading issues.,4.0,4.0,4.0,3.0,3kW,"$10,000 to $15,000",,,,False,[],0,0
13658,Geoff,WA - 6027,WA,6027,True,2012-06-10,10 June 2012,4.75,,"Finn, the Solar Quote web page, on-line tutorials, videos, seven daily tips and checklist were most helpful and informative, thank you. I have recommended this to others as the place to go.I have a number of small north facing roof areas, and wanted an installation that was aesthetically pleasing and eventually opted for a cantilevered combination awning and solar panel structure for up to 12 panels. This was not part of quotes and was installed separately.Three companies were requested to quote by Solar Quotes. Silic Energy quoted within 1 day, Renewable Logic WA within 10 days, but I never heard from Sonnen Power WA. I had also arranged earlier quotes from Avant Solar and SolarGain, they took 14 days, but cancelled the latter when committed to Avant Solar.The Solar Quote checklist was most helpful in a comparison of the three eventual contractors.Silic Energy provided a simple desk top (pre-prepared) 3 product option LIST for a 4KW system, (4KW JFY Tech with 17-230W EC Solar / 4.2 KW Effekta with 16-250W CSUNergy / 4.2KW Aurora with 16-250W Perlight) minimal check of capacity, the site, and my needs. While the representative was willing to answer questions, it was a sales pitch. The documentation was largely unhelpful, the contract was referenced but not included. Price not fixed, STC's not mentioned, no connection to provider, 25% deposit. Little other info provided.Renewable Logic WA provided an incomplete 3 product option for a 3-5KW system, (3KW Growatt with 12-255 QCells / 4.34KW 2* Inverter? with 17panels? / 5KW 3* Inverter? with 20panels?) with minimal check of capacity, the site, and my needs. While the representative was willing to answer questions, it was a sales pitch. The documentation was OK, but the contract terms and conditions were a compete deterrent. No price guarantee, and extensive exclusion clauses, no mention of STC's other than T&C exclusion, installation vague, time to install indefinite, products and components brochure, fees and charges not included, and Buy Back all contained exclusions. Caveat emptor here.Avant Solar WA provided a 15 product option for a 2-5KW system, (3KW SPR 350IF or Kaco 4202 or SMA SB3800 with 14-228W Serengeti or 14-235W QCells or 10-318W Sunpower respectively / 4KW SMA SB3800 or Kaco 6002 or Fronius IG60 with 18-228W Serengeti or 18-235W QCells or 14-318W Sunpower respectively / 5KW Fronius IG60 or Kaco 6002 or Fronius IG60 with 22-228W Serengeti or 22-245W QCells or 16-318W Sunpower respectively) with a check of site, capacity (day/night) and discussed and considered my needs. The representative (Jaimee Brizzell) was most helpful and knowledgeable. Recommended a promotional price 4.6KW Fronius IG60 with 10-318 Sunpower panels for my day time usage. Fixed price guarantee, STC's fixed at promotional price (higher than daily market price), installation by sub-contractors (good workmanship), arranged for grid connection paperwork. The contract was clear, concise and simple, they took full responsibility. Due to energy supplier regulations, 2 x Kaco 3002 Invertors were substituted for the 4.6KW Fronius IG60 at no additional cost. The Kaco's permit battery storage, an option I will consider in the near future, and considering the 7c buy-back is a worthwhile consideration. The system was installed over two wet days (Fri-Sat) this last week. Not only did I obtain a guaranteed $3,840 for the Renewable Energy Certificates, but obtained the WA Gov't Perth Solar City discount of $636 for the Sunpower Solar panel installation. Very pleased with choice.*During the month of June, the last month for the present Federal rebate, the state energy supplier Synergy changed the rule and restricted installation of the Inverter in domestic situations to 3KW or less. The timeliness and lack of consultation by Synergy and Western Power is astounding and makes a mockery of their communication, purported flexibility, and support of renewable energy. This lack of foresight and adaptability along with subsidised energy price by all state governments has effectively disenfranchised and distorted the renewable energy market in Australia.",4.0,5.0,5.0,5.0,3kW,"$10,000 to $15,000",,,,False,[],0,0
12934,FAYE,WA - 6076,WA,6076,True,2012-05-15,15 May 2012,4.33,,,4.0,4.0,0,5.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
11176,Dennis,WA - 6285,WA,6285,True,2012-01-16,16 January 2012,5.0,,We bought a sunpower system from AVANT. And we are very pleased with out savings on electricity already. We pay nothing and have gone into credit on all of our bills.,5.0,5.0,5.0,5.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
5961,Dennis,WA - 6026,WA,6026,True,2011-03-31,31 March 2011,4.67,,"FIRST , THANK YOU FOR YOUR HELP WHEN WE FIRST STARTED LOOKING AT SOLAR, WE FINALLY DECIDED ON SUNPOWER PANELS THROUGH AVANT [ NOT YET INSTALLED ]HAVE PAID DEPOSIT.FRIENDS HAD THE SAME SYSTEM INSTALLED BY SOLAR E, THOUGH WE FOUND AVANT MORE PROFESSIONAL & POLITE.THANKS ONCE AGAINDEN DEWSON.",4.0,5.0,0,5.0,2kW,"$6,000 to $10,000",,,,False,[],0,0
