review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
43695,Alfredo,WA - 6167,WA,6167,True,2018-01-31,31 January 2018,2.5,,"I have verified good reviews at the Energypak company, but at the end of the day they just wanted to grab the money and they ended up with the company, getting customers with the problem on the shoulders and having to pay the costs out of their own pocket in products still under warranty (The supplier sends me the inverter and I have to pay from my pocket the replacement).ÂIs there any alternative by law to be the manufacturer paying for the installation of the products?Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â ÂAPS (the supplier) sent me an email saying that they do not have qualified personnel to install micro inverters in Australia, because they are the suppliers and not the installers.ÂI have been trying to solve this problem since 10/16/2017, which started with the replacement of the APS - ECU first, and after it started to work and it was detected that 4 inverters did not work, and now I am in the expectation of who does the replacement of inverters ?? .. I've contacted some companies, but maybe because it's not a big job and the product is not from them, including the installer from Energypak, saying that it is not in business !! ..",3.0,3.0,3.0,1.0,5kW,"$15,000 to $20,000",,,,False,[],0,0
22500,Lynette,WA - 6112,WA,6112,True,2014-04-22,22 April 2014,4.75,,"Paul (proprietor EnergyPak) came and spoke to us at length about all the features and scenarios available. He was patient and understanding of our Ã¢â‚¬Å“need to know all the details and spent considerable time answering all our questions. At considerably less (about a third the cost of the previous company's quote) we were happy with the cost and felt confident about the company (EnergyPak). We decided on a 5+kW system with 23 x 250 watt panels and PowerTracker monitoring.The process of ordering and paying, as well as arranging for the installation was as it should be free of pressure (sales pitch) and problems. After arranging with Synergy and Western Power for the ok to go ahead, the installation went smoothly and was done on time with a minimum of disruption to power supply. The installers were professional and courteous Ã¢â‚¬â€œ the team effective and knowledgeable.We have now had our first full solar energy bill (a full 60 days of solar being connected) and what a difference it has made! From the expected (based on our historical energy bills data) $650 we received a bill for only $150 - a saving of around $500 (including nearly $100 in energy buyback rebates from Synergy  -  the excess power we generated but did not use). With the PowerTracker monitor we have been able to see exactly what we our solar panels are generating at any given point in time, and have been able to make sure that we use appliances like the dishwasher and washing machine during the day when we are producing the most power. We have also been able to see what power we are consuming, and tailor our use of various household appliances including lighting and a/c etc. accordingly.All-in-all a big win! We couldn't be happier with the level of service and the products supplied, and the first bill sealed the deal - if you have been delaying getting solar, then delay no more - call Paul at EnergyPak on 1300 781 531 and speak to him about your needs - he will do his best to help you decide on which type of system and how it can be used effectively and to your advantage.",4.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
20802,Peter,WA - 6108,WA,6108,True,2013-11-15,15 November 2013,4.0,,"The guys from Energypak have been great, the maze of getting approvals through Synergy and Western power have been made easier (If that is at all possible) because of Paul Morris.Anyone who thinks that this is a ten minute process has rocks in their heads and are surely being set up for total disappointment.",4.0,4.0,0,4.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
19781,Donald,WA - 6026,WA,6026,True,2013-08-24,24 August 2013,5.0,,"Everyone at Energypak from the Owner, to the Salesperson to the Installers have been very honest, professional, helpful and courteous and their aftersales service is unparalleled!",5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
19706,Kevin,WA - 6024,WA,6024,True,2013-08-18,18 August 2013,5.0,,"I have no hesitation to recommend this company. They are professional, friendly and answer all questions you care to throw at them.",5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
19580,Dave,WA - 6027,WA,6027,True,2013-08-04,04 August 2013,4.5,,"The installation was completed professionally with no mess, it was also double checked the next day by the electrician, the system has been in for nearly a month now and seems to be working well, I am waiting for my first bill to let me know how well, here's hoping the system is as good as the service from Energypak.",4.0,4.0,5.0,5.0,1.5kW,"$6,000 to $10,000",,,,False,[],0,0
19369,Justin,WA - 6173,WA,6173,True,2013-07-16,16 July 2013,4.75,,"By far the best customer service experience and quality control I have experienced with any company in Australia in over 20 years.Excellent client contact, excellent quality control, excellent overall experience. Highly recommended.",4.0,5.0,5.0,5.0,More than 6kW,"More than $20,000",,,,False,[],0,0
19214,Phillip,WA - 6169,WA,6169,True,2013-07-03,03 July 2013,4.75,,"My initial introduction to Solar Power was through a flyer I received from BlueLine Solar,a couple of years ago. I called them and a young man came out (straight from Sales School) and proceeded to BS his way through Graphs and figures and after 'speaking to his alleged boss on his mobile' proceeded to try to con me into various fanciful deals - $12392.00 for 10 panels and a 3.5 kw string inverter - needless to say that the garden flourished well that year because of all the BS he spread around.This put me off Solar Installations for quite some time as I just lost all trust in anything they might say, but having finished other upgrades within our home, decided to try again - that's when I discovered Solar Quotes - I think someone 'up there' was looking down on me that day....",4.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
18868,Graham,WA - 6210,WA,6210,True,2013-06-01,01 June 2013,5.0,,"I have had a lot of business dealings in my life but this is the first time that I have not been able to find a single fault or deficiency in any part of the purchase of my Solar System from Energypak in Jarrahdale WA. Helpful, courteous, professional, prompt service and much more. 5 stars in every field. Graham Garrad Mandurah WA",5.0,5.0,5.0,5.0,4kW,"$10,000 to $15,000",,,,False,[],0,0
18668,Phill,WA - 6169,WA,6169,True,2013-05-15,15 May 2013,5.0,,"These guys are amazing, all installed in less than a week since I started looking for a 2.5 kw system. - I chose a Micro-inverter system because my roof area is broken up into a number of smaller slopes and angles, the individual inverters ensure that all Unshaded panels are producing their max output. - What I didn't realize initially is that the whole array can be monitored by the actual company as well as myself on the internet, and if something should fail, they are able to monitor the history and rectify any fault - this as a real bonus in my book ! - I recommend this system and the company with full marks, thank you EnergyPak.",5.0,5.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
