review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
15671,Alan,QLD - 4877,QLD,4877,True,2012-09-05,05 September 2012,3.5,,"2 weeks after installation and I made final payment they still have not lodged the form a with ergon to have my meter changed. Have had no paper work for warranties etc., and have asked for information on how to use the control unit to be told twice now, they have asked their technician but he has not got back to them, and the salesman is no longer contactable - he has voice male message to call a office lady.",4.0,4.0,4.0,2.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
15105,Lorraine,VIC - 3156,VIC,3156,True,2012-08-03,03 August 2012,3.67,,"As the process is not yet complete I cannot say how the performance, quality, etc is/or will be, however the electricians who set the panels up, etc. were very good.",4.0,,4.0,3.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
14650,David,VIC - 3440,VIC,3440,True,2012-07-11,11 July 2012,4.0,,"Sales person promised installation in the first week of June but system wasn't installed until the first week in July... seven weeks after order and deposit. Now, waiting for inspection and connection to grid.",4.0,5.0,4.0,3.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
14502,Eddie,VIC - 3155,VIC,3155,True,2012-07-04,04 July 2012,4.0,,,4.0,4.0,5.0,3.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
13985,Lee,VIC - 3156,VIC,3156,True,2012-06-18,18 June 2012,2.67,,We had to put up with a lot of excuses as to why the installation that was promised within 2 weeks didn't eventuate until 7 weeks after we signed the contract.,3.0,,4.0,1.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
13635,Tim,VIC - 3442,VIC,3442,True,2012-06-09,09 June 2012,4.0,,"Installation completed on the date nominated, just been inspected and told it was a very good jobwaiting on Powercor to check smart meter which we have and then the system can be turned on. This is reason value for money and quality of system stated not applicable, however, the panels used from your check list they are at the top of the tree.",0,,4.0,4.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
12996,Jeanette,VIC - 3222,VIC,3222,True,2012-05-17,17 May 2012,3.75,,"We knew the salesman personally which is the only reason we went with this company. So far so good. There were some delays initially caused by no-one coming to actually measure and plan on site then delays in getting the contractors down to do the job. Ultimately though, the contracting crew were very professional and certainly knew exactly what they were doing, nice guys too from Industry Electrical. We are not connected up yet though and hope that all happens before the Government reduces the feed-in tariff further.",4.0,4.0,4.0,3.0,5kW,"$6,000 to $10,000",,,,False,[],0,0
12791,Audrey,SA - 5161,SA,5161,True,2012-05-06,06 May 2012,4.75,,"We chose Go4Solar because they are a local company, with their own intallers, definately not the cheapest, but we considered with their owner salesman, quality components, availability to answer any concerns, call back check at 6 months,and overall presentation, to be the best one for us. Thank You 'Go4Solar' South Australia.",4.0,5.0,5.0,5.0,1.5kW,Under $3000,,,,False,[],0,0
12378,Russell,VIC - 3156,VIC,3156,True,2012-04-16,16 April 2012,4.25,,Only 8 panels were required for a 2kw system because 250 Watt monocrystaline panels were used and this made it easier to fit on our relatively small section of North facing roof. The price would have even been just under $3000 if we had not had to split the system; again due to using the available North facing roof.,5.0,4.0,4.0,4.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
10284,Helen,SA - 5161,SA,5161,True,2011-09-21,21 September 2011,4.5,,,4.0,5.0,5.0,4.0,4kW,"$10,000 to $15,000",,,,False,[],0,0
8839,Anon,SA - 5173,SA,5173,True,2011-06-27,27 June 2011,4.75,,I am one of several customer's in a radius of less than 1kilometre.Also some of our friends living in Morpett Vale have one installed.,5.0,5.0,5.0,4.0,1.5kW,"$3,000 to $6,000",,,,False,[],0,0
