review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,inverter_rating,battery_rating,has_images,image_urls,overall_rating,quality_rating
130677,Matthew,NSW - 2232,NSW,2232,True,2025-02-12,12 February 2025,4.75,,"The quoting process was simple, site visited the next day (other company requested an email did over phone), site visit was a must for me to avoid any costly surprises due to the layout etc.The installation took longer to happen than hoped but the demand for the new Powerwall 3 was much higher then the AU supply, they kept me up to date during the delay and honored the quote happily.Installation day went well and the backup set up was completed as I had requested, all very friendly and didn't leave a mess once the job was completed, very happy!",5.0,5.0,4.0,5.0,,"$10,000 to $12,500",,,Tesla Powerwall 3,,5.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png'],0,0
129100,Doug,NSW - 2533,NSW,2533,True,2024-12-17,17 December 2024,5.0,,"After sourcing four quotes, I landed with Redbrothers for a few reasons1. I liked the idea of a well established and smaller company. As a result I got access to an experienced operator who spent considerable time with me.2. I had a lot of questions, and they took the time to explain things to me.3. Install presentation was important to me, and they came out a second time to work through the specifics and details with me.4. Delivery timeline was agreed and met. Install was of high quality.5. Pleasant and honest service.",5.0,5.0,5.0,5.0,20kW,"$12,500 to $15,000",,Sungrow,Sungrow,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/e7b0a69259af41db362c44d99679ce900.jpg', ""data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E"", 'https://www.solarquotes.com.au/img/installation/thumbnailsx83/30a1ea1e9b4e1032642e6672048237a41.jpg']",0,0
128193,Wayne,NSW - 2500,NSW,2500,True,2024-11-21,21 November 2024,4.0,,Knowledgeable about the installation...Answered all my questions...relating to blacks out for the system & what would be backed up by the Battery...,4.0,4.0,4.0,4.0,,"$10,000 to $12,500",,,Sungrow,,4.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
127752,Alan,NSW - 2517,NSW,2517,True,2024-11-08,08 November 2024,5.0,,Very good company to work with. They thoroughly explained the process involved in installing solar panels and the quote was very detailed as to the sitting of the panels and power generation we could expect throughout the year.They were happy to change the brand of panels to meet our request.They were very understanding when I needed to get approval from our Body Corporate committee which took longer than expected. The installation went smoothly and the site left clean and tidy. I would recommend them to anybody thinking of installing solar panels,5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",Trina,Sungrow,,,,True,"['https://www.solarquotes.com.au/img/panelmanufacturers/P_trina.png', 'https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png']",0,0
125299,Morgan,NSW - 2529,NSW,2529,True,2024-08-24,24 August 2024,5.0,,"We had a really old solar system on our roof that no longer worked and was looking for a full revamp including battery. We really did our research and were happy when Luke was suggesting only quality products, giving us confidence that quality was important to them too.Luke and I geeked out a bit over the technical side of things and he was patient with me when I continually asked him questions.We are extremely happy with our Tesla Powerwall and the solar install and are seeing massive results in our electricity bills. Highly recommend them.",5.0,5.0,5.0,5.0,9kW,"$8,000 to $10,000",,Sungrow,Tesla Powerwall 2,5.0,5.0,True,"['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png', 'https://www.solarquotes.com.au/img/batterymanufacturers/I_tesla.png']",0,0
125296,Fiona,NSW - 2230,NSW,2230,True,2024-08-23,23 August 2024,5.0,,I had a great experience with Chris and the team from start to finish!I found their name recommended on a few local sites prior to seeing them on solar quotes. Their customer service was what really made them stand out above the other options. They were thorough in explaining the process and answering all my questions. They booked me in and completed the job swiftly.I have no hesitation recommending them to people who are interested in getting solar.,5.0,5.0,5.0,5.0,10kW,"$8,000 to $10,000",,Fronius,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_fronius.png'],0,0
125295,David,NSW - 2760,NSW,2760,True,2024-08-23,23 August 2024,5.0,,"Chris and his team installed a 6.6kW system for us and we had a great experience, despite some wet weather challenges. The team were all great guys and you can tell the install is quality workmanship. We have recommended them to everyone!",5.0,5.0,5.0,5.0,6.6kW,"$4,000 to $6,000",,SolarEdge,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_solaredge.png'],0,0
125294,Wendy,NSW - 2224,NSW,2224,True,2024-08-23,23 August 2024,5.0,,"We are so glad Red Brothers were referred to us from a family friend! It felt like a big and scary decision for us at the start, but Luke and his team were very knowledgeable and made us immediately feel at ease. Luke went through a number of options with us to choose the system that would be most cost effective and we are already confident it was the right choice.",5.0,5.0,5.0,5.0,6.6kW,"$6,000 to $8,000",,Sungrow,,5.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
125293,Chrystalle,NSW - 2233,NSW,2233,True,2024-08-23,23 August 2024,5.0,,"Luke and his team were wonderful!I had a lot of questions and Luke was happy to answer all of them, giving us real confidence in the process.We had an 8kW solar system installed and we are already seeing great results with our electricity bill. Couldn't be happier!",5.0,5.0,5.0,5.0,8kW,"$6,000 to $8,000",,,,,,False,[],0,0
122240,Christopher,NSW - 2516,NSW,2516,True,2024-05-16,16 May 2024,5.0,,"I've used Luke and his team on several occasions, having also recommended them to other friends. I've had some peculiar requirements, but this posed no problem for them.I strongly recommend The Red Brothers and will be recommending them for all types of jobs going forward; including some big ones.",5.0,5.0,5.0,5.0,8kW,"More than $20,000",,Sungrow,,4.0,,True,['https://www.solarquotes.com.au/img/invertermanufacturers/I_sungrow.png'],0,0
122141,Will,NSW - 2535,NSW,2535,True,2024-05-14,14 May 2024,4.5,,"We highly recommend this company! Their system is fantastic, and the installation process was seamless. But what really stood out was their exceptional customer service - from the initial quote to post-installation support, they exceeded our expectations every step of the way. Top-notch service from start to finish!",4.0,4.0,5.0,5.0,10kW,"More than $20,000",,,Sungrow,4.0,4.0,True,['https://www.solarquotes.com.au/img/batterymanufacturers/I_sungrow.png'],0,0
