review_id,reviewer_name,reviewer_location,reviewer_state,reviewer_postcode,reviewer_postcode_valid,review_date,review_date_formatted,overall_review_rating,review_title,review_description,value_for_money_rating,quality_of_system_rating,installation_rating,customer_service_rating,system_size,system_cost,panel_brand,inverter_brand,battery_brand,has_images,image_urls,overall_rating,quality_rating
16789,George,VIC - 3500,VIC,3500,True,2012-12-13,13 December 2012,4.75,,"Excellent service from quote to installation to smart meter.True to their word, the system was fitted within their 2 week time frame.After sales was excellent, had nothing to worry about at all.Highly recommend this company 5/5.",4.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
16446,Des,VIC - 3500,VIC,3500,True,2012-11-12,12 November 2012,5.0,,"Everything was smooth sailing installation took only 2 and a half hours. Although, the inverter did not operate a new one was sent straight away. No problems.",5.0,5.0,5.0,5.0,2kW,Under $3000,,,,False,[],0,0
16048,Gregory John,VIC - 3500,VIC,3500,True,2012-10-09,09 October 2012,4.0,,"We had quite a fast turnaround in between quote, deposit and installation.  So far we are very happy with the service, but it is still early days.  Our salesperson was very helpful and professional, and gave us relevant information for our needs.",4.0,4.0,4.0,4.0,3kW,"$6,000 to $10,000",,,,False,[],0,0
16043,Denis,VIC - 3500,VIC,3500,True,2012-10-09,09 October 2012,4.75,,Solar Recycle service was superb in fact I recomended them to a colleague and purchased a 4Kw unit,5.0,5.0,5.0,4.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
15901,Denis,VIC - 3500,VIC,3500,True,2012-10-03,03 October 2012,5.0,,I found the after sales service was excellent both from the State sales executive and head office nothing was too much trouble.The installers were very profesional and there teamwork in installing the unit again was exemplary.,5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
15890,Wijaya,VIC - 3027,VIC,3027,True,2012-10-03,03 October 2012,4.25,,,4.0,4.0,5.0,4.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
15889,A,VIC - 3806,VIC,3806,True,2012-10-02,02 October 2012,4.0,,"The estimator thought it would be a 5KW system, but the installers could not fit that many panels on the roof.The installers were the only ones who were not put off by a two storey building and novel building materials.  Others just walked away from the job.I have deliberately omitted my full name as a condition of allowing publication of my review. Initials should suffice.",4.0,4.0,4.0,4.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
15719,Sara,VIC - 3579,VIC,3579,True,2012-09-12,12 September 2012,5.0,,Only took 4 wks to be installed. Sales person was wonderful he answered all my dumb questions without any hesitation. He was always positive and knew what he was talking about. We have a fantastic system at a great price. Very pleased with the whole process it seemed way too easy and Solar Recycle made our experience stress free!!!,5.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
15676,Andrew,VIC - 3977,VIC,3977,True,2012-09-06,06 September 2012,4.75,,I had been considering  solar for 2 years and did not really understand it even though i spoke with many companies.Price was expensive and i was not really convinced that it would  payoff.I was contacted  by Solar Recycle and i  drove richie mad for almost 3 weeks with questions that i learned  and eventually went with  them.I always say  that a company is only as good as it's products and  after  sales  service  as  i  purchased  an inverter that i was familiar  with even though he recommended  another brand and  after two weeks it failed i called richie and he straight away sent someone out and in the end i asked them to replace it with the recommended inverter and they did no fuss.Great service and have recommended them to everyone that i can .,4.0,5.0,5.0,5.0,5kW,"$10,000 to $15,000",,,,False,[],0,0
15282,Amir,VIC - 3021,VIC,3021,True,2012-08-14,14 August 2012,4.5,,,4.0,4.0,5.0,5.0,2kW,"$3,000 to $6,000",,,,False,[],0,0
14666,Alan,VIC - 3844,VIC,3844,True,2012-07-12,12 July 2012,5.0,,,5.0,5.0,5.0,5.0,4kW,"$6,000 to $10,000",,,,False,[],0,0
13263,L,VIC - 3806,VIC,3806,True,2012-05-26,26 May 2012,5.0,,"They were very good knew their business, installation was done the next week. My daughter used the same company and her sister in-law, too.",5.0,5.0,5.0,5.0,3kW,"$3,000 to $6,000",,,,False,[],0,0
