组合,投资年限,州,样本数,平均回本周期_年,最短回本_年,最长回本_年,平均IRR,平均总节省
20年_更换电池_贴现,20,NSW,14229,4.96,2.99,18.71,26.11%,64400.76
20年_更换电池_贴现,20,VIC,14229,5.22,3.15,18.71,24.86%,60790.38
20年_更换电池_贴现,20,QLD,14229,5.00,2.94,18.71,26.16%,63939.59
20年_更换电池_贴现,20,SA,14229,5.13,3.10,18.71,25.24%,61956.79
20年_更换电池_贴现,20,WA,14229,4.92,2.89,18.71,26.53%,65087.23
20年_更换电池_贴现,20,TAS,14229,4.51,2.64,18.71,28.80%,72067.52
20年_更换电池_贴现,20,NT,14229,4.45,2.56,18.71,29.39%,73257.76
20年_更换电池_贴现,20,ACT,14229,4.88,3.01,18.71,26.28%,65565.29
20年_更换电池_不贴现,20,NSW,14229,4.79,2.93,17.20,26.11%,64400.76
20年_更换电池_不贴现,20,VIC,14229,5.03,3.09,17.20,24.86%,60790.38
20年_更换电池_不贴现,20,QLD,14229,4.82,2.89,17.20,26.16%,63939.59
20年_更换电池_不贴现,20,SA,14229,4.95,3.04,17.20,25.24%,61956.79
20年_更换电池_不贴现,20,WA,14229,4.75,2.84,17.20,26.53%,65087.23
20年_更换电池_不贴现,20,TAS,14229,4.36,2.60,17.20,28.80%,72067.52
20年_更换电池_不贴现,20,NT,14229,4.31,2.52,17.20,29.39%,73257.76
20年_更换电池_不贴现,20,ACT,14229,4.71,2.96,17.20,26.28%,65565.29
20年_不更换电池_贴现,20,NSW,14229,3.97,2.64,16.67,30.37%,69498.19
20年_不更换电池_贴现,20,VIC,14229,4.14,2.76,16.67,29.09%,65887.81
20年_不更换电池_贴现,20,QLD,14229,3.99,2.57,16.67,30.42%,69037.02
20年_不更换电池_贴现,20,SA,14229,4.08,2.72,16.67,29.48%,67054.21
20年_不更换电池_贴现,20,WA,14229,3.94,2.58,16.67,30.80%,70184.66
20年_不更换电池_贴现,20,TAS,14229,3.66,2.38,16.67,33.12%,77164.95
20年_不更换电池_贴现,20,NT,14229,3.62,2.30,16.67,33.72%,78355.19
20年_不更换电池_贴现,20,ACT,14229,3.92,2.67,16.67,30.55%,70662.72
