roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,old_final_cost,new_final_cost,cost_diff,cost_diff_rate,old_payback_years,new_payback_years,payback_diff_years,old_discounted_payback_years,new_discounted_payback_years,discounted_payback_diff_years,old_avg_annual_savings,new_avg_annual_savings,annual_savings_diff,old_irr,new_irr,irr_diff,old_total_20y_savings,new_total_20y_savings,total_savings_diff
2,1,0.44,8,22.44,20.2,671.44,15473.13328,14102.709280000001,-1370.423999999999,-8.856796973185505,,,,,,,-235.7435433058816,-235.7435433058816,0.0,,,,2592.3962255069705,2592.3962255069705,0.0
3,2,0.88,8,22.44,20.2,1342.88,15539.622559999998,14202.41856,-1337.203999999998,-8.605125348681558,,,,,,,-14.87182840263704,-14.87182840263704,0.0,,,,7933.0569343769075,7933.0569343769075,0.0
4,3,1.32,8,22.44,20.2,2014.3200000000002,15606.111840000001,14302.127840000001,-1303.9840000000004,-8.355598200044684,,,,,,,205.99988650060737,205.99988650060737,0.0,,,,13273.717643246853,13273.717643246853,0.0
5,4,1.76,8,22.44,20.2,2685.76,15672.60112,14401.83712,-1270.7639999999992,-8.108188234168493,18.29025451986028,17.506018440334753,-0.7842360795255274,,19.108033111473006,,426.8716014038517,426.8716014038517,0.0,1.2818764014809858,1.9295794496429153,0.6477030481619295,18614.378352116768,18614.378352116768,0.0
6,5,2.2,8,22.44,20.2,3357.2000000000003,15739.090400000003,14501.546400000001,-1237.5440000000017,-7.862868619142066,15.806944012250227,15.129842849816953,-0.6771011624332743,17.169974576185645,16.32993708232942,-0.8400374938562258,647.743316307096,647.743316307096,0.0,3.3471024653408676,4.043794710014481,0.6966922446736135,23955.03906098671,23955.03906098671,0.0
7,6,2.64,8,22.44,20.2,4028.6400000000003,15805.57968,14601.25568,-1204.3240000000005,-7.619612974549255,13.915292601576299,13.325003889863098,-0.5902887117132014,14.954687488769506,14.255251074830932,-0.6994364139385745,868.6150312103407,868.6150312103407,0.0,5.195367032138165,5.935817591671366,0.7404505595332012,29295.69976985665,29295.69976985665,0.0
8,7,3.08,8,22.44,20.2,4700.08,15872.06896,14700.964960000001,-1171.1039999999994,-7.378395362012082,12.471209466222136,11.882392614909428,-0.5888168513127088,13.286619143240998,12.645221087473816,-0.6413980557671817,1089.486746113585,1089.486746113585,0.0,6.887492891110014,7.667292436235584,0.7797995451255701,34636.36047872658,34636.36047872658,0.0
9,8,3.52,8,22.44,20.2,5371.52,15938.558240000002,14800.67424,-1137.8840000000018,-7.139190275970668,11.279225772613936,10.764652861464144,-0.5145729111497914,11.902129695330801,11.362059419026226,-0.5400702763045757,1310.3584610168293,1310.3584610168293,0.0,8.462097628216725,9.277304040733725,0.815206412517,39977.021187596496,39977.021187596496,0.0
10,9,3.96,8,22.44,20.2,6042.96,16005.04752,14900.38352,-1104.6640000000007,-6.901972634692938,10.296988280919857,9.785182513958278,-0.5118057669615794,10.812653350822066,10.325805950462462,-0.48684740035960417,1531.2301759200736,1531.2301759200736,0.0,9.945237378997263,10.792178320116363,0.8469409411191009,45317.681896466434,45317.681896466434,0.0
11,9,3.96,8,22.44,20.2,6042.96,16005.04752,14900.38352,-1104.6640000000007,-6.901972634692938,10.296988280919857,9.785182513958278,-0.5118057669615794,10.812653350822066,10.325805950462462,-0.48684740035960417,1531.2301759200736,1531.2301759200736,0.0,9.945237378997263,10.792178320116363,0.8469409411191009,45317.681896466434,45317.681896466434,0.0
