roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,usable_battery_kwh,annual_generation,pre_tax_cost,with_tax_cost,subsidy,final_cost,payback_years,payback_months,discounted_payback_years,discounted_payback_months,avg_annual_savings_10y,irr,total_20y_savings
2,1,0.44,8,22.44,20.2,671.44,19795.24,21774.764000000003,8174.49072,13600.273280000003,,,,,-235.7435433058816,,2592.3962255069705
3,2,0.88,8,22.44,20.2,1342.88,20010.4,22011.440000000002,8316.78144,13694.658560000002,,,,,-14.87182840263704,,7933.0569343769075
4,3,1.32,8,22.44,20.2,2014.3200000000002,20225.56,22248.116,8459.07216,13789.043840000002,,,,,205.99988650060737,,13273.717643246853
5,4,1.76,8,22.44,20.2,2685.76,20440.72,22484.792,8601.36288,13883.42912,17.178082766363147,206.13699319635776,18.70913853405221,224.50966240862653,426.8716014038517,2.2142114154121373,18614.378352116768
6,5,2.2,8,22.44,20.2,3357.2000000000003,20655.88,22721.468,8743.6536,13977.814400000001,14.805483663634474,177.66580396361368,15.946456311465298,191.35747573758357,647.743316307096,4.362055213277927,23955.03906098671
7,6,2.64,8,22.44,20.2,4028.6400000000003,20871.04,22958.144,8885.94432,14072.19968,13.036132450434588,156.43358940521506,13.894203324963676,166.73043989956412,868.6150312103407,6.287491143302759,29295.69976985665
8,7,3.08,8,22.44,20.2,4700.08,21086.2,23194.82,9028.23504,14166.58496,11.657391989585832,139.88870387503,12.343123339548578,148.11748007458294,1089.486746113585,8.052462319028564,34636.36047872658
9,8,3.52,8,22.44,20.2,5371.52,21301.36,23431.496,9170.52576,14260.970239999999,10.544310950503318,126.53173140603982,11.084581762495139,133.01498114994166,1310.3584610168293,9.696223682840355,39977.021187596496
10,9,3.96,8,22.44,20.2,6042.96,21516.52,23668.172,9312.816480000001,14355.355519999997,9.530688416082905,114.36826099299485,10.065153015451946,120.78183618542334,1531.2301759200736,11.245197884272784,45317.681896466434
11,9,3.96,8,22.44,20.2,6042.96,21516.52,23668.172,9312.816480000001,14355.355519999997,9.530688416082905,114.36826099299485,10.065153015451946,120.78183618542334,1531.2301759200736,11.245197884272784,45317.681896466434
12,10,4.4,8,22.44,20.2,6714.400000000001,21731.68,23904.848,9455.1072,14449.740800000001,8.9221542687354,107.06585122482478,9.47378710861767,113.68544530341202,1662.1214363174572,12.092134571867064,48482.62228661555
13,11,4.84,8,22.44,20.2,7385.84,21946.840000000004,24141.524000000005,9597.397920000001,14544.126080000004,8.75480575093019,105.05766901116228,9.2619043262782,111.14285191533841,1718.3106354860397,12.399316219671164,49841.272706810654
14,12,5.28,9.6,22.22,20,8057.280000000001,22396.36,24635.996,9692.43864,14943.557359999999,8.72232624262663,104.66791491151957,9.221753619623987,110.66104343548785,1774.4998346546217,12.430531838617753,51199.923127005786
15,13,5.72,9.6,22.22,20,8728.72,22611.52,24872.672,9834.729360000001,15037.942639999997,8.56175165182513,102.74101982190156,9.000937189256339,108.01124627107606,1830.6890338232038,12.724336997780483,52558.57354720095
16,14,6.16,9.6,22.22,20,9400.16,22826.68,25109.348,9977.02008,15132.327920000002,8.38069642681223,100.56835712174677,8.807086618990605,105.68503942788726,1886.8782329917863,13.012929986871313,53917.22396739606
17,15,6.6,9.6,22.22,20,10071.6,23041.84,25346.024,10119.3108,15226.713200000002,8.230006816832534,98.7600818019904,8.659410375303002,103.91292450363603,1943.0674321603685,13.29650078114355,55275.87438759123
18,16,7.04,9.6,22.22,20,10743.04,23257.0,25582.7,10261.60152,15321.09848,8.059444874698322,96.71333849637986,8.494039149436988,101.92846979324386,1999.2566313289512,13.575227798719425,56634.52480778636
19,17,7.48,9.6,22.22,20,11414.480000000001,23472.160000000003,25819.376000000004,10403.892240000001,15415.483760000003,7.886875240095044,94.64250288114053,8.32722192550439,99.92666310605267,2055.4458304975333,13.84927886974765,57993.17522798151
20,18,7.92,9.99,29.33,26.4,12085.92,29346.399999999998,32281.039999999997,13081.482960000001,19199.557039999996,9.282627669623428,111.39153203548113,9.804026577035655,117.64831892442787,2111.6350296661158,11.272200930397958,59351.82564817665
21,18,7.92,9.99,29.33,26.4,12085.92,29346.399999999998,32281.039999999997,13081.482960000001,19199.557039999996,9.282627669623428,111.39153203548113,9.804026577035655,117.64831892442787,2111.6350296661158,11.272200930397958,59351.82564817665
22,19,8.36,9.99,29.33,26.4,12757.359999999999,29561.559999999998,32517.715999999997,13223.77368,19293.942319999995,9.117844466615415,109.41413359938497,9.653641916187496,115.84370299424995,2167.8242288346983,11.517901241313666,60710.4760683718
