roof_panels,panel_count,solar_kw,inverter_kw,battery_kwh,old_pre_tax,new_pre_tax,market_pre_tax,old_vs_new_diff,old_vs_new_rate,new_vs_market_diff,new_vs_market_rate,subsidy,old_final,new_final,market_final
2,1,0.44,8,22.44,21497.84,20000.960000000003,22880.0,-1496.8799999999974,-6.962932089921579,2879.0399999999972,14.394509063564934,8174.49072,15473.13328,13826.565280000004,16993.50928
3,2,0.88,8,22.44,21687.64,20218.320000000003,23320.0,-1469.319999999996,-6.774918801676883,3101.6799999999967,15.340938317328028,8316.78144,15539.622559999998,13923.370560000001,17335.21856
4,3,1.32,8,22.44,21877.440000000002,20435.68,23760.0,-1441.760000000002,-6.590167771000638,3324.3199999999997,16.267234562294966,8459.07216,15606.111840000001,14020.17584,17676.92784
5,4,1.76,8,22.44,22067.24,20653.04,24200.0,-1414.2000000000007,-6.4085948220076485,3546.959999999999,17.17403345948102,8601.36288,15672.60112,14116.98112,18018.63712
6,5,2.2,8,22.44,22257.04,20870.4,24640.0,-1386.6399999999994,-6.230118650099023,3769.5999999999985,18.0619441888991,8743.6536,15739.090400000003,14213.786400000003,18360.346400000002
7,6,2.64,8,22.44,22446.84,21087.760000000002,25080.0,-1359.079999999998,-6.054660700570762,3992.239999999998,18.93155081431123,8885.94432,15805.57968,14310.591680000003,18702.055679999998
8,7,3.08,8,22.44,22636.64,21305.120000000003,25520.0,-1331.5199999999968,-5.882145053329455,4214.879999999997,19.783413564438955,9028.23504,15872.06896,14407.396960000002,19043.76496
9,8,3.52,8,22.44,22826.440000000002,21522.480000000003,25960.0,-1303.9599999999991,-5.712498313359415,4437.519999999997,20.618070036538523,9170.52576,15938.558240000002,14504.202240000002,19385.47424
10,9,3.96,8,22.44,23016.24,21739.840000000004,26400.0,-1276.3999999999978,-5.545649506609236,4660.159999999996,21.43603632777424,9312.816480000001,16005.04752,14601.007520000003,19727.18352
11,9,3.96,8,22.44,23016.24,21739.840000000004,26400.0,-1276.3999999999978,-5.545649506609236,4660.159999999996,21.43603632777424,9312.816480000001,16005.04752,14601.007520000003,19727.18352
12,10,4.4,8,22.44,23206.04,21957.200000000004,26840.0,-1248.8399999999965,-5.381529980987693,4882.799999999996,22.23780809939334,9455.1072,16071.5368,14697.812800000005,20068.8928
13,11,4.84,8,22.44,23395.84,22174.56,27280.0,-1221.2799999999988,-5.22007331217857,5105.439999999999,23.02386157831316,9597.397920000001,16138.026079999998,14794.618080000002,20410.602079999997
14,12,5.28,9.6,22.22,23838.620000000003,22629.32,27500.0,-1209.300000000003,-5.072860761235352,4870.68,21.523757673672918,9692.43864,16530.043360000003,15199.81336,20557.56136
15,13,5.72,9.6,22.22,24028.42,22846.68,27940.0,-1181.739999999998,-4.9180928250796265,5093.32,22.29347984039694,9834.729360000001,16596.532639999998,15296.61864,20899.27064
16,14,6.16,9.6,22.22,24218.22,23064.04,28380.0,-1154.1800000000003,-4.765750744687265,5315.959999999999,23.048693984228258,9977.02008,16663.02192,15393.42392,21240.979919999998
17,15,6.6,9.6,22.22,24408.02,23281.399999999998,28820.0,-1126.6200000000026,-4.615777928729994,5538.600000000002,23.78980645493829,10119.3108,16729.5112,15490.229199999998,21582.6892
18,16,7.04,9.6,22.22,24597.82,23498.76,29260.0,-1099.0600000000013,-4.4681195325439464,5761.240000000002,24.517208567601024,10261.60152,16796.00048,15587.034479999998,21924.39848
19,17,7.48,9.6,22.22,24787.620000000003,23716.12,29700.0,-1071.5000000000036,-4.322722391258231,5983.880000000001,25.23127729156372,10403.892240000001,16862.489760000004,15683.839759999999,22266.10776
