scenario,param_panel,param_inverter,param_battery,project_type,region,panel_count,solar_kw,inverter_kw,battery_kwh,pre_tax_total,total_with_tax,subsidy,final_price
极低参数,50,50,100,新建系统,NSW,1,0.0,19.5,50.32,6007.0,6607.7,16419.0,-9811.3
极低参数,50,50,100,新建系统,NSW,2,0.44,8,22.44,2666.0,2932.6,8174.49072,-5241.890719999999
极低参数,50,50,100,新建系统,NSW,3,0.88,8,22.44,2688.0,2956.8,8316.78144,-5359.9814400000005
极低参数,50,50,100,新建系统,NSW,4,1.32,8,22.44,2710.0,2981.0,8459.07216,-5478.07216
极低参数,50,50,100,新建系统,NSW,5,1.76,8,22.44,2732.0,3005.2,8601.36288,-5596.162880000001
极低参数,50,50,100,新建系统,NSW,6,2.2,8,22.44,2754.0,3029.4,8743.6536,-5714.2536
极低参数,50,50,100,新建系统,NSW,7,2.64,8,22.44,2776.0,3053.6,8885.94432,-5832.34432
极低参数,50,50,100,新建系统,NSW,8,3.08,8,22.44,2798.0,3077.8,9028.23504,-5950.435039999999
极低参数,50,50,100,新建系统,NSW,9,3.52,8,22.44,2820.0,3102.0,9170.52576,-6068.52576
极低参数,50,50,100,新建系统,NSW,10,3.96,8,22.44,2842.0,3126.2,9312.816480000001,-6186.6164800000015
极低参数,50,50,100,新建系统,NSW,11,3.96,8,22.44,2842.0,3126.2,9312.816480000001,-6186.6164800000015
极低参数,50,50,100,新建系统,NSW,12,4.4,8,22.44,2864.0,3150.4,9455.1072,-6304.707200000001
极低参数,50,50,100,新建系统,NSW,13,4.84,8,22.44,2886.0,3174.6,9597.397920000001,-6422.797920000001
极低参数,50,50,100,新建系统,NSW,14,5.28,9.6,22.22,2966.0,3262.6,9692.43864,-6429.83864
极低参数,50,50,100,新建系统,NSW,15,5.72,9.6,22.22,2988.0,3286.8,9834.729360000001,-6547.929360000001
极低参数,50,50,100,新建系统,NSW,16,6.16,9.6,22.22,3010.0,3311.0,9977.02008,-6666.02008
极低参数,50,50,100,新建系统,NSW,17,6.6,9.6,22.22,3032.0,3335.2,10119.3108,-6784.1107999999995
极低参数,50,50,100,新建系统,NSW,18,7.04,9.6,22.22,3054.0,3359.4,10261.60152,-6902.2015200000005
极低参数,50,50,100,新建系统,NSW,19,7.48,9.6,22.22,3076.0,3383.6,10403.892240000001,-7020.292240000001
极低参数,50,50,100,新建系统,NSW,20,7.92,9.99,29.33,3828.5,4211.35,13081.482960000001,-8870.13296
极低参数,50,50,100,新建系统,NSW,21,7.92,9.99,29.33,3828.5,4211.35,13081.482960000001,-8870.13296
极低参数,50,50,100,新建系统,NSW,22,8.36,9.99,29.33,3850.5,4235.55,13223.77368,-8988.22368
极低参数,50,50,100,新建系统,NSW,23,8.8,9.99,29.33,3872.5,4259.75,13366.0644,-9106.3144
极低参数,50,50,100,新建系统,NSW,24,9.24,9.99,29.33,3894.5,4283.95,13508.35512,-9224.40512
极低参数,50,50,100,新建系统,NSW,25,9.68,9.99,29.33,3916.5,4308.15,13650.645840000001,-9342.495840000001
极低参数,50,50,100,新建系统,NSW,26,10.12,9.99,29.33,3938.5,4332.35,13792.93656,-9460.58656
极低参数,50,50,100,新建系统,NSW,27,10.56,9.99,29.33,3960.5,4356.55,13935.22728,-9578.67728
极低参数,50,50,100,新建系统,NSW,28,11.0,9.99,29.33,3982.5,4380.75,14077.518,-9696.768
极低参数,50,50,100,新建系统,NSW,29,11.44,9.99,29.33,4004.5,4404.95,14219.808719999999,-9814.85872
极低参数,50,50,100,新建系统,NSW,30,11.88,9.99,29.33,4026.5,4429.15,14362.09944,-9932.94944
极低参数,50,50,100,新建系统,NSW,31,11.88,9.99,29.33,4026.5,4429.15,14362.09944,-9932.94944
极低参数,50,50,100,新建系统,NSW,32,12.32,9.3,28.04,3885.0,4273.5,14034.140159999999,-9760.640159999999
极低参数,50,50,100,新建系统,NSW,33,12.76,9.3,28.04,3907.0,4297.7,14176.43088,-9878.73088
